,r,FCI,CCD,QCCD
0,1.0,-107.549300957907,-107.54655291974495,-107.5475215517355
1,1.2,-107.67733974921178,-107.67111525589392,-107.67434741125912
2,1.4,-107.62317417805652,-107.61112440491756,-107.61889779796924
3,1.6,-107.54208576587249,-107.52862504031532,-107.53746467711214
4,1.8,-107.4834573505553,-107.50134463401086,-107.4777328607665
5,2.0,-107.45515559740716,-107.55370518403824,-107.44287922072397
6,2.2,-107.44485854900644,-107.20956170554231,-107.327253905896
7,2.4,-107.44130628469112,-107.1595448539142,-107.34233311595426
8,0.6,-103.93173260921708,-103.93124386083952,-103.93128391164947
9,0.8,-106.7663079156226,-106.76508976565115,-106.76532004758361
