Taken from DOI 10.1016/S0009-2614(00)01137-4
Calculations were run in the STO-3G basis. 
Energies are in hartrees. 
For methods other than full CI, the energy E - EFCI is quoted.

R CCD QCCD VCCD FCI
1.00 0.002596 0.001620 0.001648 -107.548966 
1.25 0.007239 0.003019 0.003236 -107.671527 
1.50 0.013994 0.004036 0.004452 -107.581483 
1.75 -0.005927 0.003868 0.003258 -107.494964 
2.00 -0.103178 0.010382 0.004964 -107.455116 
2.25 -0.169303 0.022128 0.008907 -107.443597 
2.50 -0.194555 0.031529 0.011467 -107.440409 
2.75 -0.204183 0.037508 0.012592 -107.439122 
3.00 -0.208130 0.041067 0.013003 -107.438489 
3.50 -0.211182 0.044283 0.013194 -107.438090 
4.00 -0.213037 0.045412 0.013260 -107.438034 
